SSP,MODEL,VARIABLE,UNIT,REGION,Region,Year,GDPP,Growth_rate
SSP1,OECD Env-Growth,GDPP,billion US$2005/yr,Africa,Nigeria,2010,2134.946388,0
SSP1,OECD Env-Growth,GDPP,billion US$2005/yr,Africa,Nigeria,2015,2607.204635,0.221203797
SSP1,OECD Env-Growth,GDPP,billion US$2005/yr,Africa,Nigeria,2020,3214.637045,0.232982253
SSP1,OECD Env-Growth,GDPP,billion US$2005/yr,Africa,Nigeria,2025,4090.071498,0.272327619
SSP1,OECD Env-Growth,GDPP,billion US$2005/yr,Africa,Nigeria,2030,5359.450795,0.310356261
SSP1,OECD Env-Growth,GDPP,billion US$2005/yr,Africa,Nigeria,2035,7040.063087,0.3135792
SSP1,OECD Env-Growth,GDPP,billion US$2005/yr,Africa,Nigeria,2040,9211.549785,0.308447051
SSP1,OECD Env-Growth,GDPP,billion US$2005/yr,Africa,Nigeria,2045,11953.3851,0.297651903
SSP1,OECD Env-Growth,GDPP,billion US$2005/yr,Africa,Nigeria,2050,15338.28099,0.28317467
SSP1,OECD Env-Growth,GDPP,billion US$2005/yr,Africa,Nigeria,2055,19432.70715,0.266941658
SSP1,OECD Env-Growth,GDPP,billion US$2005/yr,Africa,Nigeria,2060,24284.57356,0.24967527
SSP1,OECD Env-Growth,GDPP,billion US$2005/yr,Africa,Nigeria,2065,29865.16097,0.229799687
SSP1,OECD Env-Growth,GDPP,billion US$2005/yr,Africa,Nigeria,2070,36096.67864,0.208655084
SSP1,OECD Env-Growth,GDPP,billion US$2005/yr,Africa,Nigeria,2075,42896.89342,0.188388933
SSP1,OECD Env-Growth,GDPP,billion US$2005/yr,Africa,Nigeria,2080,50234.43439,0.171050638
SSP1,OECD Env-Growth,GDPP,billion US$2005/yr,Africa,Nigeria,2085,58010.97374,0.154804955
SSP1,OECD Env-Growth,GDPP,billion US$2005/yr,Africa,Nigeria,2090,66126.79777,0.139901531
SSP1,OECD Env-Growth,GDPP,billion US$2005/yr,Africa,Nigeria,2095,74500.0943,0.12662486
SSP1,OECD Env-Growth,GDPP,billion US$2005/yr,Africa,Nigeria,2100,82974.73887,0.113753474
SSP1,OECD Env-Growth,GDPP,billion US$2005/yr,Africa,Rest of Africa,2010,3596.136588,0
SSP1,OECD Env-Growth,GDPP,billion US$2005/yr,Africa,Rest of Africa,2015,4017.281056,0.117110254
SSP1,OECD Env-Growth,GDPP,billion US$2005/yr,Africa,Rest of Africa,2020,4676.153818,0.164009626
