Feature,Importance,Region,Model
Value_Area,0.6393112314963878,Australia,Random Forest
NPP,0.14383464192681392,Australia,Random Forest
Price,0.08517398696220085,Australia,Random Forest
Year,0.036868352766313506,Australia,Random Forest
Quantity,0.03442672355849744,Australia,Random Forest
GDPP,0.026943327632969825,Australia,Random Forest
Growth_rate,0.02669396836518468,Australia,Random Forest
GDP_Level,0.0037533239072486003,Australia,Random Forest
POP_Level,0.0029944433843833796,Australia,Random Forest
Value_Area,0.4458998211631323,Australia,Gradient Boosting
Year,0.2521308827040828,Australia,Gradient Boosting
NPP,0.154435862605059,Australia,Gradient Boosting
Price,0.059621789947551226,Australia,Gradient Boosting
Growth_rate,0.05618434808907632,Australia,Gradient Boosting
GDPP,0.018201854269043333,Australia,Gradient Boosting
Quantity,0.011797847147986443,Australia,Gradient Boosting
GDP_Level,0.0016811351010707055,Australia,Gradient Boosting
POP_Level,4.645897299791183e-05,Australia,Gradient Boosting
Value_Area,1.5191824839444716,Australia,Permutation
Price,0.43198671497022234,Australia,Permutation
NPP,0.19042175919931276,Australia,Permutation
Quantity,0.09304539783549293,Australia,Permutation
Growth_rate,0.047310231879239814,Australia,Permutation
Year,0.03836258460332752,Australia,Permutation
GDPP,0.021771476633980224,Australia,Permutation
GDP_Level,0.0032225602628953133,Australia,Permutation
POP_Level,0.002730681679571678,Australia,Permutation
NPP,0.5870694582988314,New Zealand,Random Forest
Value_Area,0.11781546626739967,New Zealand,Random Forest
Price,0.10614213449464194,New Zealand,Random Forest
Year,0.10369823977227843,New Zealand,Random Forest
Quantity,0.04198319960418375,New Zealand,Random Forest
POP_Level,0.018748676863127332,New Zealand,Random Forest
Growth_rate,0.011829734491818926,New Zealand,Random Forest
GDPP,0.008962781822215472,New Zealand,Random Forest
GDP_Level,0.0037503083855030548,New Zealand,Random Forest
NPP,0.6248700322124676,New Zealand,Gradient Boosting
Price,0.12114848304038772,New Zealand,Gradient Boosting
Year,0.11560562572780692,New Zealand,Gradient Boosting
Value_Area,0.08695658779184942,New Zealand,Gradient Boosting
POP_Level,0.021296133516591282,New Zealand,Gradient Boosting
Quantity,0.019461804629603577,New Zealand,Gradient Boosting
Growth_rate,0.006171144398360783,New Zealand,Gradient Boosting
GDPP,0.004077315727091179,New Zealand,Gradient Boosting
GDP_Level,0.00041287295584153656,New Zealand,Gradient Boosting
NPP,1.2903566380462166,New Zealand,Permutation
Price,0.33289628612916866,New Zealand,Permutation
Year,0.27445379252370583,New Zealand,Permutation
Value_Area,0.1481023196147077,New Zealand,Permutation
Quantity,0.052892163164473115,New Zealand,Permutation
POP_Level,0.013229160939111907,New Zealand,Permutation
Growth_rate,0.008743247079164374,New Zealand,Permutation
GDPP,0.00823658123340244,New Zealand,Permutation
GDP_Level,0.0032383888292022876,New Zealand,Permutation
Year,0.9031521184682085,Rest of Oceania,Random Forest
NPP,0.05355883331137058,Rest of Oceania,Random Forest
Value_Area,0.017640137754670354,Rest of Oceania,Random Forest
GDP_Level,0.015694867844387766,Rest of Oceania,Random Forest
Quantity,0.0047839791519919605,Rest of Oceania,Random Forest
Price,0.0032179843714380475,Rest of Oceania,Random Forest
POP_Level,0.0009079906392749099,Rest of Oceania,Random Forest
GDPP,0.0005801402293276501,Rest of Oceania,Random Forest
Growth_rate,0.0004639482293303494,Rest of Oceania,Random Forest
Year,0.7387335018247689,Rest of Oceania,Gradient Boosting
Value_Area,0.19551853350070558,Rest of Oceania,Gradient Boosting
NPP,0.05097413673737294,Rest of Oceania,Gradient Boosting
GDP_Level,0.012735680604360951,Rest of Oceania,Gradient Boosting
GDPP,0.00046731198276705343,Rest of Oceania,Gradient Boosting
POP_Level,0.0004379130717205791,Rest of Oceania,Gradient Boosting
Growth_rate,0.0004336521922740681,Rest of Oceania,Gradient Boosting
Quantity,0.00040843456475680003,Rest of Oceania,Gradient Boosting
Price,0.00029083552127323343,Rest of Oceania,Gradient Boosting
Year,1.3325411246483487,Rest of Oceania,Permutation
NPP,0.09653181477352762,Rest of Oceania,Permutation
Value_Area,0.014529977775511549,Rest of Oceania,Permutation
GDP_Level,0.0064864194721136696,Rest of Oceania,Permutation
Quantity,0.0062928782779370415,Rest of Oceania,Permutation
Price,0.003094930118096517,Rest of Oceania,Permutation
POP_Level,0.00037473749639660436,Rest of Oceania,Permutation
GDPP,0.0002371531169511498,Rest of Oceania,Permutation
